object_level;object_name;gender;year;education_level;study_area;count_graduate;percent_employed;average_salary;oktmo;okato
Страна;Российская Федерация;Всего;2021;СПО: квалифицированные рабочие и служащие;Здравоохранение и медицинские науки;1035;41.17647059;30939.76611;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: квалифицированные рабочие и служащие;Инженерное дело, технологии и технические науки;100303;64.49535887;53268.24656;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: квалифицированные рабочие и служащие;Искусство и культура;2698;58.57618651;40620.07659;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: квалифицированные рабочие и служащие;Математические и естественные науки;61;72.54901961;56911.58941;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: квалифицированные рабочие и служащие;Науки об обществе;29616;59.31219458;37372.19602;00000000;00000000
Страна;Российская Федерация;Всего;2021;СПО: квалифицированные рабочие и служащие;Сельское хозяйство и сельскохозяйственные науки;14936;62.10982659;50743.72647;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: квалифицированные рабочие и служащие;Гуманитарные науки;1303;53.05699482;36592.50378;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: квалифицированные рабочие и служащие;Здравоохранение и медицинские науки;1026;40.969163;31630.31961;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: квалифицированные рабочие и служащие;Инженерное дело, технологии и технические науки;100770;52.93685192;46810.54546;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: квалифицированные рабочие и служащие;Искусство и культура;4196;57.22495895;40018.21839;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: квалифицированные рабочие и служащие;Математические и естественные науки;47;60.52631579;47683.89684;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: квалифицированные рабочие и служащие;Науки об обществе;31352;55.28546804;35948.53603;00000000;00000000
Страна;Российская Федерация;Всего;2022;СПО: квалифицированные рабочие и служащие;Сельское хозяйство и сельскохозяйственные науки;14815;47.65785609;46911.39016;00000000;00000000
Страна;Российская Федерация;Всего;2023;СПО: квалифицированные рабочие и служащие;Гуманитарные науки;1496;41.96342637;35563.70208;00000000;00000000
Страна;Российская Федерация;Всего;2023;СПО: квалифицированные рабочие и служащие;Здравоохранение и медицинские науки;590;35.83061889;29962.29326;00000000;00000000
Страна;Российская Федерация;Всего;2023;СПО: квалифицированные рабочие и служащие;Инженерное дело, технологии и технические науки;110422;41.84981203;43289.8653;00000000;00000000
Страна;Российская Федерация;Всего;2023;СПО: квалифицированные рабочие и служащие;Искусство и культура;5173;45.87384128;35384.46406;00000000;00000000
Страна;Российская Федерация;Всего;2023;СПО: квалифицированные рабочие и служащие;Математические и естественные науки;46;63.33333333;40801.92308;00000000;00000000
Страна;Российская Федерация;Всего;2023;СПО: квалифицированные рабочие и служащие;Науки об обществе;31670;43.92936764;33666.06903;00000000;00000000
Страна;Российская Федерация;Всего;2023;СПО: квалифицированные рабочие и служащие;Сельское хозяйство и сельскохозяйственные науки;14286;36.69364344;42893.60417;00000000;00000000
Страна;Российская Федерация;Всего;2019;Бакалавриат, специалитет;Гуманитарные науки;25780;76.14716486;69834.14732;00000000;00000000
Страна;Российская Федерация;Всего;2019;Бакалавриат, специалитет;Здравоохранение и медицинские науки;38778;88.34248559;90619.84306;00000000;00000000
Страна;Российская Федерация;Всего;2019;Бакалавриат, специалитет;Инженерное дело, технологии и технические науки;174925;83.93581607;103669.8646;00000000;00000000
Страна;Российская Федерация;Всего;2019;Бакалавриат, специалитет;Искусство и культура;16826;78.45433255;68931.18433;00000000;00000000
Страна;Российская Федерация;Всего;2019;Бакалавриат, специалитет;Математические и естественные науки;22043;80.08500304;108186.2747;00000000;00000000
Страна;Российская Федерация;Всего;2019;Бакалавриат, специалитет;Науки об обществе;288360;74.81664079;76902.41684;00000000;00000000
Страна;Российская Федерация;Всего;2019;Бакалавриат, специалитет;Образование и педагогические науки;65736;83.35237978;59089.10747;00000000;00000000
Страна;Российская Федерация;Всего;2019;Бакалавриат, специалитет;Сельское хозяйство и сельскохозяйственные науки;23586;78.561495;64093.51863;00000000;00000000
Страна;Российская Федерация;Всего;2020;Бакалавриат, специалитет;Гуманитарные науки;26182;76.22045956;65573.8487;00000000;00000000
Страна;Российская Федерация;Всего;2020;Бакалавриат, специалитет;Здравоохранение и медицинские науки;38943;85.58319514;86736.21966;00000000;00000000
